,phishing_previsto,pontuacao_phishing,tipo,breve_razao,raciocinio
0,0,0,Email,O email parece ser uma conversa legítima sobre uma oportunidade de trabalho e não contém indicadores de phishing.,"O email é uma conversa sobre uma oportunidade de trabalho, com contatos e detalhes de agendamento, sem táticas suspeitas."
1,0,0,Email,O email parece ser uma conversa legítima sobre assuntos técnicos e não contém indicadores de phishing.,"O email discute assuntos técnicos e não apresenta elementos típicos de phishing, como urgência, pedidos de informações pessoais ou links suspeitos."
2,0,0,Email,Email profissional sem indicadores de phishing.,"O email discute assuntos de negócios internos, como desenvolvimento de modelos de risco e otimização, sem táticas suspeitas."
3,0,0,Email,Este email parece ser um aviso legítimo sobre uma reunião de funcionários.,O email não apresenta nenhuma das características típicas de phishing.
4,0,0,Email,O email parece ser uma mensagem genuína sobre uma mudança de grupo de pesquisa e não contém indicadores típicos de phishing.,"O email discute assuntos relacionados ao trabalho, como mudança de grupo, financiamento de pesquisa e logística, sem táticas de pressão ou pedidos suspeitos."
5,0,0,Email,"Email legitimo, sem indicios de phishing.",O email parece ser uma conversa interna da empresa sobre um evento. Não apresenta táticas de phishing.
6,0,0,Email,O email parece ser um email genuíno de acompanhamento de um candidato a emprego para o Dr. Kaminski.,O email é um email de acompanhamento após uma entrevista de emprego e não contém indicadores de phishing.
7,0,0,Email,"Este email parece ser um email genuíno sobre um evento de limpeza, sem táticas de phishing.",O email fornece informações sobre um evento chamado 'trash bash' sem pedir nenhuma informação pessoal ou ação suspeita.
8,0,0,Email,O email parece ser um email de trabalho legítimo relacionado à testagem de modelo de armazenamento.,O email discute sobre testagem de um modelo de armazenamento e não possui nenhuma das características típicas de phishing.
9,0,0,Email,"O email parece ser uma mensagem genuína para compartilhar informações de contato, sem táticas de phishing.",O email compartilha informações de contato e não apresenta indícios de atividades suspeitas ou tentativas de phishing.
10,0,0,Email,O email parece ser um email de encaminhamento legítimo com um currículo em anexo.,O email é um encaminhamento de um currículo e não contém nenhuma solicitação ou link suspeito que indique phishing.
11,0,0,Email,Email benigno; sem indicação de phishing.,"O email parece ser uma conversa genuína sobre arranjos de trabalho, sem táticas suspeitas."
12,0,0,Email,O email aparenta ser um email comercial legitimo sobre despesas do grupo.,"O email discute despesas do grupo, ajustes de orçamento, e gerenciamento de custos, sem nenhuma caracteristica de phishing."
13,0,0,Email,O email é uma conversa genuína sem indicação de phishing.,O email é uma conversa genuína entre colegas sobre investimento e colaboração em negócios.
14,0,0,Email,O email parece ser um email legítimo de encaminhamento sobre uma inscrição para estágio.,O email não contém nenhuma das bandeiras vermelhas comuns encontradas em emails de phishing. Parece ser um email de encaminhamento genuíno.
15,0,0,Email,Email genuíno sobre uma oportunidade de trabalho de verão.,"O email é uma conversa sobre uma oferta de trabalho de verão, sem indicadores de phishing."
16,0,0,Email,O email parece ser uma conversa genuína e não contém nenhum indicador de phishing.,O email é uma corrente de respostas sobre agendamento de reunião e não apresenta linguagem suspeita ou tentativas de phishing.
17,0,0,Email,Email legítimo sobre organização de um jantar.,O email é uma conversa sobre a organização de um jantar e não contém indicadores de phishing.
18,0,0,Email,O email parece ser uma mensagem legítima discutindo uma reunião de curadores.,"O email não contém nenhum dos indicadores comuns de phishing, como urgência, pedidos de informações confidenciais ou links suspeitos."
19,0,0,Email,O email parece ser um itinerário de viagem legítimo encaminhado por um funcionário da Enron.,"O email não contém pedidos suspeitos, links ou anexos. É um itinerário de viagem detalhado."
20,0,0,Email,O email parece ser uma mensagem genuína sobre uma apresentação.,"O email não contém solicitações suspeitas, links ou anexos. É uma conversa profissional sobre uma apresentação."
21,0,1,Email,"O email parece legitimo, sem indicadores comuns de phishing.","O email não apresenta indícios de urgência, recompensas ou táticas de engenharia social. Parece ser uma correspondência comercial genuína."
22,1,8,Email,O email usa táticas de pressão por tempo e contém um link suspeito para aprovação.,A mensagem usa senso de urgência para pressionar o usuário a clicar no link de 'aprovação' sem verificar detalhes.
23,0,2,Email,"O email parece legítimo, mas sem mais contexto sobre os 'tiger evals' e quem é 'Donna Piazza', ele apresenta um baixo risco potencial de phishing.","O email não apresenta elementos típicos de phishing como urgência, links suspeitos ou pedidos de informação sensível. Porém, a presença de um anexo requer cautela."
24,0,0,Email,"O email parece ser uma conversa comercial genuína sobre estratégias de hedge no mercado de energia, sem táticas de phishing.","O email discute estratégias de hedge de preços de gás e menciona empresas e preços específicos, sugerindo uma conversa comercial genuína."
25,0,0,Email,O email parece ser uma discussão genuína sobre conceitos econômicos e não apresenta elementos suspeitos.,"O email discute o impacto das cláusulas de correspondência de preços e direitos de preferência em cenários competitivos. Não há pedidos, links ou anexos suspeitos."
26,0,0,Email,"O email parece ser um email genuíno sobre uma oportunidade de trabalho de verão, sem indicadores de phishing.","O email é sobre uma oportunidade de trabalho de verão e não contém pedidos suspeitos, links ou anexos."
27,0,0,Email,O email parece ser um email genuíno de agradecimento para um estágio de verão e não contém nenhum indicador de phishing.,"O email é um email de agradecimento educado e profissional que não contém linguagem urgente, ameaças ou pedidos suspeitos."
28,1,8,Email,Assunto suspeito com muitos caracteres especiais e formatação incomum.,O assunto em caixa alta com múltiplos pontos de exclamação e formatação estranha é típico de emails de phishing que tentam se passar por mensagens pessoais.
29,0,2,Email,"Formato inusual para email, mas parece benigno","O email não tem linguagem típica de phishing, mas é importante ter cuidado com emails com formato inusual."
30,0,0,Email,O email parece ser uma conversa genuína sobre software de modelagem matemática.,"O email discute software de modelagem matemática e não contém solicitações suspeitas, links ou anexos."
31,0,2,Email,"A mensagem parece um email legítimo, sem táticas comuns de phishing.","O email não apresenta links suspeitos, senso de urgência ou solicitações de informações pessoais, parecendo uma mensagem genuína."
32,0,1,Email,"Email aparentemente legitimo sobre atualização de políticas, mas precisa de mais contexto para confirmar.","O email parece ser uma comunicação interna sobre mudanças em políticas, mas sem mais contexto, é difícil avaliar com certeza."
33,0,0,Email,Este email é uma conversa de negócios e não contém indicadores de phishing.,"O email é uma cadeia de conversa sobre decisões de negócios relacionadas a LNG. Não há pedidos suspeitos, links ou anexos."
34,0,0,Email,O email não apresenta nenhuma das características comuns de phishing.,"O email parece ser uma conversa genuína sobre um estágio de verão, sem táticas suspeitas."
